client_id,name,cpf,age,state,income_brl,plan,acquisition_ch,credit_score,created_at,churned,churn_date,kyc_verified
CLI00001,Cliente 1,332.181.960-XX,25,CE,7248.96,Básico,Google Ads,832,2024-05-11 15:46:46,True,2024-10-28 15:46:46,False
CLI00002,Cliente 2,083.863.794-XX,32,SP,5810.52,Básico,Instagram,771,2023-06-19 19:42:26,False,,True
CLI00003,Cliente 3,654.235.116-XX,66,PE,3708.25,Básico,App Store,715,2023-01-06 01:08:44,False,,True
CLI00004,Cliente 4,078.161.849-XX,40,RJ,1025.02,Básico,Indicação,764,2024-10-20 06:26:24,False,,True
CLI00005,Cliente 5,103.413.164-XX,54,RJ,4227.53,Profissional,Orgânico,630,2023-10-08 21:21:55,False,,True
CLI00006,Cliente 6,341.928.327-XX,41,MG,3545.27,Básico,Instagram,663,2024-10-09 20:56:43,True,2025-05-08 20:56:43,True
CLI00007,Cliente 7,503.056.413-XX,62,RJ,1456.76,Profissional,Google Ads,784,2024-05-12 02:27:36,False,,True
CLI00008,Cliente 8,767.242.388-XX,63,PR,2662.63,Básico,Parceiro,630,2024-03-16 13:00:08,False,,True
CLI00009,Cliente 9,653.287.101-XX,45,SP,2402.12,Profissional,App Store,600,2024-03-30 01:28:21,False,,True
CLI00010,Cliente 10,916.697.848-XX,68,MG,2215.18,Básico,Google Ads,673,2023-05-05 06:16:50,False,,True
CLI00011,Cliente 11,845.146.270-XX,61,CE,5603.7,Profissional,Orgânico,755,2023-01-09 22:01:18,False,,True
CLI00012,Cliente 12,281.489.325-XX,64,SP,2682.62,Básico,Google Ads,460,2024-11-11 07:04:55,True,2025-08-24 07:04:55,True
CLI00013,Cliente 13,095.701.543-XX,67,MG,5207.47,Profissional,Parceiro,700,2024-02-23 22:45:13,False,,False
CLI00014,Cliente 14,171.822.782-XX,54,BA,3274.26,Básico,Instagram,723,2024-11-12 23:17:06,False,,True
CLI00015,Cliente 15,383.465.787-XX,56,PR,6539.56,Básico,Google Ads,806,2024-11-08 15:19:50,False,,True
CLI00016,Cliente 16,983.930.103-XX,22,SP,5995.46,Básico,Google Ads,767,2023-06-24 12:39:43,False,,False
CLI00017,Cliente 17,473.829.973-XX,39,RJ,10171.08,Básico,App Store,798,2023-01-25 09:34:47,True,2023-06-25 09:34:47,True
CLI00018,Cliente 18,165.667.010-XX,44,GO,2636.75,Profissional,Orgânico,640,2024-09-19 04:50:06,False,,True
CLI00019,Cliente 19,333.872.624-XX,69,PR,3078.44,Profissional,Instagram,548,2023-09-21 13:03:32,False,,True
CLI00020,Cliente 20,810.801.326-XX,22,RJ,5178.28,Profissional,App Store,614,2024-11-10 05:35:58,False,,True
CLI00021,Cliente 21,260.647.468-XX,43,PR,5875.76,Profissional,Instagram,526,2023-06-16 00:32:18,False,,True
CLI00022,Cliente 22,098.050.097-XX,27,CE,13013.63,Básico,App Store,748,2024-01-14 00:12:45,True,2024-06-03 00:12:45,True
